serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
6356,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Changchun City, Jilin Province","Jilin Huabang Automobile Maintenance Co., Ltd","No. 6287, North Ring Road, Kuancheng District, Changchun City",Xiamen Golden Dragon,Changchun
6357,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Changchun City, Jilin Province","Changchun Xuerun Automobile Maintenance Co., Ltd","1825 West Huancheng Road, Changchun City",Xiamen Golden Dragon,Changchun
6358,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Changchun City, Jilin Province","Jilin Yifeng Automobile Sales and Service Co., Ltd","No. 46, Chuncheng Street, Lvyuan District, Changchun City",Xiamen Golden Dragon,Changchun
6359,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jilin City, Jilin Province","Jilin Evergrande Automobile Service Co., Ltd","Garage 600-1, No. 5, Wuhuang Middle Road, Changyi District, Jilin City",Xiamen Golden Dragon,Jilin
6360,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Siping City, Jilin Province","Siping Hongye Highway Passenger Transport Co., Ltd. auto repair plant","No. 140, Central West Road, Tiexi District, Siping City, Jilin Province",Xiamen Golden Dragon,Siping
6361,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Liaoyuan City, Jilin Province","Liaoyuan Shunda Auto Trade Co., Ltd","No. 5, Liaohe Road, Longshan District, Liaoyuan City",Xiamen Golden Dragon,Liaoyuan
6362,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Tonghua City, Jilin Province","Tonghua Long-distance Passenger Transport Co., Ltd. auto repair shop","No. 4793, Jianshe Street, Tonghua City, Jilin Province",Xiamen Golden Dragon,Tonghua
6363,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Baishan City, Jilin Province","Baishan Huanxing Auto Trade Co., Ltd",Baishan Mayor Baishan Street No. 1,Xiamen Golden Dragon,Baishan
6364,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Songyuan City, Jilin Province","Songwon Rensong Overseas Chinese Automobile Repair Co., Ltd","No. 1300, Fanhua Road, Ningjiang District, Songyuan City, Jilin Province",Xiamen Golden Dragon,Songyuan
6365,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Baicheng, Jilin Province","Baicheng Xinghe Auto Maintenance Co., Ltd",Jilin Province Baicheng Tiedong 5th Committee,Xiamen Golden Dragon,Baicheng
6366,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yanbian Korean Autonomous Prefecture, Jilin Province","Yanji Junlong Automobile Maintenance Co., Ltd",Yanji Mayor Baixiang Renping Village Team 3,Xiamen Golden Dragon,Yanbian Korean Autonomous Prefecture
6367,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Harbin, Heilongjiang Province","Harbin Longyun Highway Passenger Transport Co., Ltd","No. 100, Deputy Cement Road, Daowai District, Harbin",Xiamen Golden Dragon,Harbin
6368,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Harbin, Heilongjiang Province","Harbin Juyuan Automobile Sales and Maintenance Co., Ltd","No. 272, Chengxiang Road, Daoli District, Harbin",Xiamen Golden Dragon,Harbin
6369,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Harbin, Heilongjiang Province","Harbin Bozun Automobile Co., Ltd","No. 435, Chengxiang Road, Daoli District, Harbin",Xiamen Golden Dragon,Harbin
6370,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Harbin, Heilongjiang Province","Harbin Longyu Automobile Service Co., Ltd","No. 235, Songbei Avenue, Songbei District, Harbin",Xiamen Golden Dragon,Harbin
6371,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Harbin, Heilongjiang Province",Harbin Longchi Import Automobile Maintenance Center Chaoyang Branch,Harbin Xiangfang District Haping Road,Xiamen Golden Dragon,Harbin
6372,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Harbin, Heilongjiang Province","Harbin Huajun Automobile Maintenance Co., Ltd","No. 181, Haping Road, Xiangfang District, Harbin",Xiamen Golden Dragon,Harbin
6373,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jixi City, Heilongjiang Province","Jixi Dongyang Automobile Sales and Service Co., Ltd","No. 16, Xisheng Street, Wenhua Road, Jiguan District, Jixi City, Heilongjiang Province",Xiamen Golden Dragon,Jixi
6374,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Daqing City, Heilongjiang Province","Daqing Jiasheng Qingling Automobile Sales and Service Co., Ltd","Zhongqi Road, Saltu District, Daqing City, Heilongjiang Province",Xiamen Golden Dragon,Daqing
6375,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Daqing City, Heilongjiang Province","Daqing Hongfeng General Equipment Maintenance Co., Ltd",Daqing City Ranghu Road District Yinlang Street Warm Home No. 2 commercial service 17 doors,Xiamen Golden Dragon,Daqing
6376,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yichun City, Heilongjiang Province",Ichun City Bus Company Auto Repair Plant,"Lindu Street, Wumahe District, Yichun City, Heilongjiang Province",Xiamen Golden Dragon,Yichun (Heilongjiang)
6377,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jiamusi City, Heilongjiang Province","Jiamusi Jiayun Bus Service Co., Ltd. repair shop","Jiamusi City, Qianjin District, Linhai Road, No. 99, Jiayun Group courtyard",Xiamen Golden Dragon,Jiamusi
6378,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jiamusi City, Heilongjiang Province","Jiamusi Jinqi Automobile Maintenance Co., Ltd","Jinqi Auto Repair, No. 88, East Section of Pioneer Road, Qianjin District, Jiamusi City, Heilongjiang Province",Xiamen Golden Dragon,Jiamusi
6379,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Mudanjiang City, Heilongjiang Province","Mudanjiang Hualong Automobile Sales and Maintenance Service Co., Ltd","No. 14, Xihailin Street, Aimin District, Mudanjiang City",Xiamen Golden Dragon,Mudanjiang
6380,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Mudanjiang City, Heilongjiang Province","Mudanjiang Public Transport Co., Ltd. Syracuse Automobile Repair Factory","No. 428, Daqing Road, Mudanjiang City",Xiamen Golden Dragon,Mudanjiang
6381,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Suihua City, Heilongjiang Province","Suihua Xiangrui Automobile Maintenance Co., Ltd","No. 12, Xishi Street, Beilin District, Suihua City, Heilongjiang Province",Xiamen Golden Dragon,Suihua
6382,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Suihua City, Heilongjiang Province","Mingshui Hongda Automobile Sales Co., Ltd","Heilongjiang Province, Suihua City, Mingshui County, south of the 202 National Road 398 kilometers west of the road",Xiamen Golden Dragon,Suihua
6383,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Xuhui District, Shanghai","Shanghai Jiaoyuncheng New Automobile Maintenance Co., Ltd","No. 85, Quwu Road, Minhang District, Shanghai",Xiamen Golden Dragon,Shanghai
6384,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Minhang District, Shanghai","Shanghai CTS Automobile Maintenance Service Co., Ltd","5117 Longwu Road, Minhang District, Shanghai",Xiamen Golden Dragon,Shanghai
6385,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Xuhui District, Shanghai","Shanghai Jin Jiang Business Travel Car Service Co., Ltd. Wuzhong Road Branch","Building 16, No. 4 Wuzhong Road, Xuhui District, Shanghai",Xiamen Golden Dragon,Shanghai
6386,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jing'an District, Shanghai","Shanghai Zhixin Automobile Repair Co., Ltd","No. 668, Lane 8, Hutaizhi Road, Jing'an District, Shanghai",Xiamen Golden Dragon,Shanghai
6387,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jing'an District, Shanghai","Shanghai Shangqin Automobile Maintenance Co., Ltd","120 Wanrong <>st Road, Jing'an District, Shanghai",Xiamen Golden Dragon,Shanghai
6388,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yangpu District, Shanghai","Shanghai China Textile Machinery Automobile Service Co., Ltd. auto repair factory","3092 Zhoujia Road, Yangpu District, Shanghai",Xiamen Golden Dragon,Shanghai
6389,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Baoshan District, Shanghai","Shanghai Baolong Auto Repair Co., Ltd","2058 Baoyang Road, Baoshan District, Shanghai",Xiamen Golden Dragon,Shanghai
6390,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jiading District, Shanghai","Shanghai Zhenhe Automobile Sales and Service Co., Ltd","No. 1688, Siyi Road, Malu Town, Jiading District, Shanghai",Xiamen Golden Dragon,Shanghai
6391,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Pudong New Area, Shanghai","Shanghai Pudong Dongfeng Automobile Sales Technology Co., Ltd","No. 4137, Lane 18, Chuansha Road, Pudong New Area, Shanghai",Xiamen Golden Dragon,Shanghai
6392,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Pudong New Area, Shanghai",Shanghai Nanhui Changle Automobile Repair Factory (General Partnership),"No. 218, Laolu Road, Pudong New Area, Shanghai",Xiamen Golden Dragon,Shanghai
6393,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Pudong New Area, Shanghai","Shanghai Miaojin Auto Repair Co., Ltd","No. 215, Chuanhuan South Road, Chuansha Town, Pudong New Area, Shanghai",Xiamen Golden Dragon,Shanghai
6394,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jinshan District, Shanghai","Shanghai Pinghai Automobile Maintenance Co., Ltd","828 Nanyang Gang West Road, Jinshan District, Shanghai",Xiamen Golden Dragon,Shanghai
6395,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Songjiang District, Shanghai","Shanghai Lvfeng Automobile Service Co., Ltd","The first floor, Building 6638, No. 1 Beisong Road, Songjiang District, Shanghai",Xiamen Golden Dragon,Shanghai
6396,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Songjiang District, Shanghai","Shanghai Lanjian Auto Repair Co., Ltd","6218 Beisong Road, Songjiang District, Shanghai",Xiamen Golden Dragon,Shanghai
6397,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Qingpu District, Shanghai","Shanghai Caoyu Automobile Repair Co., Ltd","No. 1983, Qingzhao Road, Qingpu District, Shanghai",Xiamen Golden Dragon,Shanghai
6398,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Fengxian District, Shanghai","Shanghai Yinxing Auto Maintenance Co., Ltd","No. 1301, Nanting Road, Nanqiao Town, Fengxian District, Shanghai",Xiamen Golden Dragon,Shanghai
6399,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Fengxian District, Shanghai",Shanghai Zhiyuan Auto Repair Factory,"1528 Juting Road, Fengxian District, Shanghai",Xiamen Golden Dragon,Shanghai
6400,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nanjing, Jiangsu Province","Nanjing Golden Wheel Automobile Service Co., Ltd","Yaoxin Avenue, No. 357, Guangxin Avenue, Nanjing Economic and Technological Development Zone",Xiamen Golden Dragon,Nanjing
6401,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nanjing, Jiangsu Province","Nanjing Zhonghao Automobile Service Co., Ltd","32 Andemen Street, Yuhuatai, Nanjing",Xiamen Golden Dragon,Nanjing
6402,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nanjing, Jiangsu Province","Nanjing Haimang Automobile Maintenance Co., Ltd","No. 90, Sanqi, Xuanwu Avenue, Nanjing",Xiamen Golden Dragon,Nanjing
6403,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nanjing, Jiangsu Province","Nanjing Huixu Automobile Sales Co., Ltd","No. 5, Wangyuan Road, Moling Industrial Park, Jiangning District, Nanjing",Xiamen Golden Dragon,Nanjing
6404,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nanjing, Jiangsu Province","Nanjing Jingcheng Automobile Maintenance Service Co., Ltd","No. 218, Kejian Road, Jiangning District, Nanjing",Xiamen Golden Dragon,Nanjing
6405,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nanjing, Jiangsu Province","Nanjing Quande Automotive Service Co., Ltd","No. 2, Xinyike Road, High-tech Development Zone, Pukou District, Nanjing",Xiamen Golden Dragon,Nanjing
6406,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Wuxi City, Jiangsu Province","Wuxi Passenger Transport Group Co., Ltd. Bus Repair Factory","No. 798, Tongjiang Avenue, Chong'an District, Wuxi City, Jiangsu Province",Xiamen Golden Dragon,Wuxi
6407,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Wuxi City, Jiangsu Province","Wuxi Weixin Auto Repair Co., Ltd","No. 20, Chengnan Road, Wuxi City",Xiamen Golden Dragon,Wuxi
6408,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Wuxi City, Jiangsu Province","Jiangyin Highway Passenger Transport Co., Ltd. auto repair shop","No. 33, Shixin Road, Jiangyin City",Xiamen Golden Dragon,Wuxi
6409,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Xuzhou City, Jiangsu Province","Xuzhou Road Transport Group Co., Ltd","No. 43, Zhongshan North Road, Xuzhou City, Jiangsu Province",Xiamen Golden Dragon,Xuzhou
6410,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Changzhou City, Jiangsu Province","Changzhou Pengfeng Auto Repair Co., Ltd","No. 21, Longjiang Middle Road, Zhonglou District, Changzhou",Xiamen Golden Dragon,Changzhou
6411,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Suzhou City, Jiangsu Province","Suzhou Xurui Automobile Maintenance Co., Ltd","No. 22, Fengjin South Road, Wuzhong District, Suzhou",Xiamen Golden Dragon,Suzhou (Jiangsu)
6412,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Suzhou City, Jiangsu Province","Suqi Group Co., Ltd. auto repair shop","Suzhou Bus Shihu Maintenance Factory - No. 1888, Lisong Road East, Wuzhong Economic Development Zone, Suzhou",Xiamen Golden Dragon,Suzhou (Jiangsu)
6413,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Suzhou City, Jiangsu Province","Suzhou Fuda Automobile Industry Co., Ltd","No. 31, Chengyun Road, Xiangcheng District, Suzhou",Xiamen Golden Dragon,Suzhou (Jiangsu)
6414,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Suzhou City, Jiangsu Province","Kunshan Getong Automobile Service Co., Ltd","No. 28, Jinyang East Road, Lujia Town, Kunshan City",Xiamen Golden Dragon,Suzhou (Jiangsu)
6415,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nantong City, Jiangsu Province","Nantong Yiren Automobile Trade Service Co., Ltd","No. 18, Yonghe Road, Nantong, Jiangsu",Xiamen Golden Dragon,Nantong
6416,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nantong City, Jiangsu Province","Nantong Automobile Industrial Group Co., Ltd. Nantong Feihe Automobile Repair Plant","No. 143, Chenggang Road, Nantong City, Jiangsu Province",Xiamen Golden Dragon,Nantong
6417,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Nantong City, Jiangsu Province","Nantong Automobile Industrial Group Co., Ltd. Haian Automobile Repair Plant","Building 8-4, Changjiang Middle Road, Haian Town, Hai'an County, Jiangsu Province",Xiamen Golden Dragon,Nantong
6418,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Lianyungang City, Jiangsu Province","Lianyungang Public Transport Group Automotive Technology Service Co., Ltd","No. 14, Xingfu Road, Meizhou District, Lianyungang City",Xiamen Golden Dragon,Lianyungang
6419,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Huai'an City, Jiangsu Province","Huai'an Yulai Automobile Maintenance Co., Ltd","No. 133, Huaihai West Road, Huai'an City",Xiamen Golden Dragon,Huai'an
6420,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Huai'an City, Jiangsu Province","Huai'an Dongfeng Motor Technical Service Station Co., Ltd","No. 61, Fujian Building Materials City, Baotan Town, Lianshui County, Huai'an City, Jiangsu Province",Xiamen Golden Dragon,Huai'an
6421,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yancheng, Jiangsu Province","Jiangsu Kuncheng Trading Co., Ltd","101 Century Avenue, Yancheng",Xiamen Golden Dragon,Yancheng
6422,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yancheng, Jiangsu Province","Yancheng Luchi Logistics Co., Ltd. auto repair plant","No. 100, Jianjun East Road, Tinghu District, Yancheng City",Xiamen Golden Dragon,Yancheng
6423,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yangzhou City, Jiangsu Province","Jiangsu Yangzhou Automobile Transport Group Co., Ltd. repair plant","No. 276, Jiangyang East Road, Yangzhou City, Jiangsu Province",Xiamen Golden Dragon,Yangzhou
6424,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Zhenjiang City, Jiangsu Province","Zhenjiang Jiangtian Automobile Service Co., Ltd","204 Zhufang Road, Zhenjiang City",Xiamen Golden Dragon,Zhenjiang
6425,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Zhenjiang City, Jiangsu Province",Zhenjiang Runzhou Shuanglong Automobile Repair Plant,"No. 10, Fenghuangshan Road, Runzhou District, Zhenjiang City",Xiamen Golden Dragon,Zhenjiang
6426,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Taizhou City, Jiangsu Province","Jiangsu Mazhou Transportation Co., Ltd. repair plant","No. 141, Xingye Road, Jingjiang City, Jiangsu Province",Xiamen Golden Dragon,Taizhou (Jiangsu)
6427,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Suqian City, Jiangsu Province","Suqian Shuangli Automobile Service Co., Ltd","Fruit tree test site in Sucheng District, Suqian City",Xiamen Golden Dragon,Suqian
